scenario,year,DA,motor
healthy,0.0,1.0,0.054619798580026115
healthy,0.01923076923076923,0.9999031942921143,0.05461979858001167
healthy,0.03846153846153846,0.9998063979481863,0.05461979858001059
healthy,0.05769230769230769,0.9997096109746999,0.0546197985800243
healthy,0.07692307692307691,0.9996128333707461,0.0546197985800655
healthy,0.09615384615384615,0.9995160651354149,0.05461979858015507
healthy,0.11538461538461538,0.9994193062678016,0.05461979858032002
healthy,0.1346153846153846,0.9993225567670021,0.05461979858059434
healthy,0.15384615384615383,0.9992258166321075,0.05461979858101804
healthy,0.17307692307692307,0.9991290858622129,0.05461979858163746
healthy,0.1923076923076923,0.9990323644564055,0.05461979858250511
healthy,0.21153846153846154,0.998935652413787,0.054619798583679845
healthy,0.23076923076923075,0.9988389497334447,0.05461979858522671
healthy,0.25,0.9987422564144758,0.05461979858721719
healthy,0.2692307692307692,0.9986455724559742,0.05461979858972855
healthy,0.2884615384615385,0.9985488978570276,0.05461979859284457
healthy,0.30769230769230765,0.9984522326167349,0.0546197985966554
healthy,0.32692307692307687,0.9983555767341911,0.054619798601256916
healthy,0.34615384615384615,0.9982589302084911,0.05461979860675186
healthy,0.36538461538461536,0.9981622930387238,0.054619798613248394
healthy,0.3846153846153846,0.9980656652239869,0.054619798620861595
healthy,0.4038461538461538,0.9979690467633763,0.05461979862971194
healthy,0.4230769230769231,0.9978724376559864,0.0546197986399272
healthy,0.4423076923076923,0.9977758379009072,0.054619798651640177
healthy,0.4615384615384615,0.997679247497236,0.05461979866499059
healthy,0.48076923076923067,0.9975826664440682,0.054619798680123885
healthy,0.5,0.9974860947404983,0.054619798697191864
healthy,0.5192307692307692,0.9973895323856252,0.054619798716352336
healthy,0.5384615384615384,0.9972929793785373,0.054619798737769835
healthy,0.5576923076923076,0.9971964357183328,0.05461979876161377
healthy,0.576923076923077,0.9970999014041076,0.05461979878806135
healthy,0.5961538461538461,0.9970033764349574,0.05461979881729444
healthy,0.6153846153846153,0.9969068608099716,0.05461979884950177
healthy,0.6346153846153846,0.9968103545282495,0.05461979888487809
healthy,0.6538461538461537,0.996713857588887,0.05461979892362398
healthy,0.673076923076923,0.9966173699909794,0.054619798965946584
healthy,0.6923076923076923,0.9965208917336231,0.05461979901205872
healthy,0.7115384615384615,0.9964244228159181,0.05461979906217945
healthy,0.7307692307692307,0.9963279632369519,0.05461979911653409
healthy,0.75,0.996231512995824,0.054619799175353735
healthy,0.7692307692307692,0.9961350720916308,0.054619799238875756
healthy,0.7884615384615384,0.9960386405234684,0.05461979930734345
healthy,0.8076923076923076,0.9959422182904327,0.054619799381006244
healthy,0.8269230769230769,0.9958458053916215,0.054619799460119516
healthy,0.8461538461538461,0.9957494018261319,0.05461979954494549
healthy,0.8653846153846153,0.9956530075930552,0.054619799635750775
healthy,0.8846153846153846,0.9955566226914913,0.054619799732809234
healthy,0.9038461538461537,0.9954602471205368,0.05461979983640068
healthy,0.923076923076923,0.9953638808792883,0.05461979994681086
healthy,0.9423076923076923,0.9952675239668427,0.05461980006433122
healthy,0.9615384615384613,0.9951711763822969,0.05461980018925945
healthy,0.9807692307692307,0.9950748381247482,0.05461980032189943
healthy,1.0,0.9949785091932931,0.054619800462560666
healthy,1.0192307692307692,0.9948821895870292,0.05461980061155885
