CI_max,alpha_clear,death_scale,status,onset_years,DA_saved_A,DA_saved_B
0.94,0.385,0.04,included,11.98013271184064,0.011470476269467067,0.008458166773197773
0.94,0.385,0.05,included,9.58486392443749,0.014104850149894821,0.010394748954067556
0.94,0.385,0.06,included,7.988018190577433,0.016650505721209408,0.01226375249254319
0.94,0.385,0.07,included,6.847414041687614,0.019109644884742316,0.014066908762893626
0.94,0.385,0.08,included,5.9919609298327225,0.021484421029288603,0.015805909855863498
0.94,0.42,0.04,included,14.781918631673406,0.008999707946808044,0.006640521196514482
0.94,0.42,0.05,included,11.826233512156694,0.011100227044963829,0.008186772343803272
0.94,0.42,0.06,included,9.855776765910742,0.013143376746127422,0.009689351707302896
0.94,0.42,0.07,included,8.448307661190617,0.015130316472267591,0.011149168985110425
0.94,0.42,0.08,included,7.392705832816139,0.01706218475366661,0.01256711704863478
