id,onset_years,diagnosis_DA,arm,DA_18mo,motor_18mo,loss_mito,loss_inflam,loss_proteo
0,3.818255238497574,0.6375167815728345,placebo,0.554216269665142,0.2131065757183962,0.0015804655597768662,0.026500472218969742,0.05521957412894685
0,3.818255238497574,0.6375167815728345,A_10,0.5617272399725088,0.20118768728456107,0.0008261645737085436,0.023331383195837843,0.05163199383077376
0,3.818255238497574,0.6375167815728345,A_30,0.568302911631853,0.19236870865314815,0.0005518265338136086,0.021050610868293,0.04761143253886198
0,3.818255238497574,0.6375167815728345,A_60,0.5723985274723412,0.18747603990008263,0.0004474338910035683,0.019809119485786713,0.04486170072371179
0,3.818255238497574,0.6375167815728345,B_10,0.5578677698744509,0.2070439663190437,0.0011159080408194928,0.024883494777302104,0.0536496088802697
0,3.818255238497574,0.6375167815728345,B_30,0.5626103760571677,0.19992401741484905,0.0007773280275089867,0.02300009475026491,0.05112898273789743
0,3.818255238497574,0.6375167815728345,B_60,0.5667829196354723,0.19429360127334946,0.0006004268260787962,0.021542530041921106,0.048590905069368764
1,1.9293877754665003,0.5815076339634223,placebo,0.440488364121537,0.31132027586680444,0.07449404326305446,0.02311565606948265,0.043409570509357696
1,1.9293877754665003,0.5815076339634223,A_10,0.47424694421332975,0.26685934883198525,0.05735246731070052,0.0190449372853975,0.030863285153983507
1,1.9293877754665003,0.5815076339634223,A_30,0.4922844255904734,0.24426249620272916,0.04962611709840911,0.01657767932402558,0.02301941195051648
1,1.9293877754665003,0.5815076339634223,A_60,0.5005611155495329,0.234243277623134,0.0462966776722811,0.015342315971159448,0.019307524770450803
1,1.9293877754665003,0.5815076339634223,B_10,0.4592610726475917,0.2862790510460729,0.06444723064314854,0.02092015899326676,0.0368791716794197
1,1.9293877754665003,0.5815076339634223,B_30,0.4771331371313177,0.26318290404615885,0.05606378636206675,0.018667647012730375,0.029643063457311516
1,1.9293877754665003,0.5815076339634223,B_60,0.4887313943332296,0.2486379991331178,0.05109183885388105,0.01708608383613265,0.02459831694017308
2,4.225233920337865,0.6432893303020736,placebo,0.566835066901608,0.19264225051915845,0.0020375924247537183,0.019129504202669352,0.05528716677304178
2,4.225233920337865,0.6432893303020736,A_10,0.5795862717239786,0.17761920743862342,0.001514445651461889,0.01648739825124068,0.045701214675404334
2,4.225233920337865,0.6432893303020736,A_30,0.5871545228253245,0.16983563499595952,0.001319025564892706,0.015099312031686303,0.03971646988016379
