scenario,day,CL_n,CL_ox,CL_ext,ALCAT1,TAZ,aSyn_mono,aSyn_olig,aSyn_ext,CI_activity,SC_integrity,dpsi,ATP,mPTP_open,mROS,SOD2_act,GPx4_act,PINK1_act,mito_damage,DA_neuron,MG_active,TNF,IL1b,Motor_score,D_mito,D_inflam,D_proteo
healthy,0.0,0.907788566755719,0.05483583659888906,0.0019424333375859507,0.10624475794935453,0.8936792830593551,0.9488443531040935,0.05532421567651024,0.0027662107838256306,0.9478332343743369,0.9706824976755449,0.9587311669340081,0.9434762263857877,0.019207165151719992,0.10698710078055201,0.823740734122731,0.6514931718351542,0.2020573377794273,0.06646093080292503,1.0,0.1276715596243397,0.20340504148499772,0.16072694904848975,0.054619798580026115,0.0,0.0,0.0
healthy,0.5,0.9077885667540158,0.054835836598774376,0.0019424333375816962,0.10624475794936138,0.8936792830593436,0.9488443531041909,0.05532421567650476,0.002766210783825518,0.947833234374338,0.9706824976755475,0.9587311669346283,0.9434762263858008,0.019207165151733045,0.10698710078053736,0.8237407341227118,0.6514931718351384,0.20205733778075854,0.06646093080827621,0.999885150541753,0.12767155962422347,0.20340504148501232,0.16072694904849677,0.054619798580024574,4.174420880058941e-05,6.262785772043796e-05,1.0477391725923109e-05
healthy,1.0,0.9077885667524543,0.05483583659867018,0.0019424333375778267,0.10624475794938269,0.8936792830593084,0.9488443531044874,0.055324215676493434,0.0027662107838254658,0.9478332343743384,0.9706824976755404,0.9587311669365325,0.9434762263858381,0.019207165151773304,0.10698710078049307,0.8237407341226526,0.6514931718350894,0.20205733778509605,0.06646093082469628,0.9997703142729318,0.1276715596238756,0.2034050414850686,0.16072694904852788,0.054619798580023575,8.348362365445189e-05,0.00012524852319580204,2.095358021782679e-05
healthy,1.5,0.9077885667510304,0.05483583659857228,0.001942433337574209,0.10624475794935423,0.8936792830593556,0.9488443531040881,0.05532421567650369,0.0027662107838252346,0.9478332343743401,0.9706824976755576,0.9587311669339951,0.9434762263857872,0.019207165151719816,0.10698710078055175,0.8237407341227317,0.651493171835155,0.20205733777915125,0.06646093080293025,0.9996554911934931,0.1276715596243301,0.2034050414849869,0.16072694904847618,0.054619798580033276,0.00012521824457898014,0.00018786199644856667,3.1428565479463864e-05
healthy,2.0,0.9077885667497186,0.05483583659848347,0.0019424333375709165,0.10624475794935408,0.8936792830593561,0.9488443531040848,0.0553242156765018,0.0027662107838251505,0.9478332343743411,0.9706824976755688,0.9587311669340145,0.943476226385788,0.019207165151720364,0.10698710078055136,0.8237407341227321,0.6514931718351556,0.20205733777914725,0.0664609308029575,0.9995406813005141,0.1276715596243247,0.20340504148497823,0.16072694904847484,0.054619798580079475,0.00016694807263440718,0.0002504682790737819,4.190234777768824e-05
healthy,2.5,0.907788566748515,0.05483583659840202,0.0019424333375678967,0.10624475794935401,0.893679283059356,0.948844353104088,0.055324215676499866,0.0027662107838250607,0.947833234374342,0.970682497675576,0.9587311669340145,0.9434762263857891,0.01920716515172021,0.10698710078055133,0.8237407341227321,0.6514931718351558,0.20205733777903873,0.06646093080295126,0.9994258845930646,0.12767155962432195,0.20340504148497296,0.1607269490484721,0.05461979858017628,0.00020867310815973018,0.000313067371578439,5.2374927197314915e-05
healthy,3.0,0.9077885667474105,0.05483583659832732,0.0019424333375651266,0.10624475794935398,0.8936792830593557,0.9488443531040958,0.05532421567649794,0.0027662107838249727,0.9478332343743429,0.9706824976755806,0.9587311669340111,0.9434762263857902,0.019207165151719805,0.10698710078055143,0.8237407341227317,0.6514931718351558,0.20205733777888674,0.06646093080293448,0.9993111010695451,0.12767155962432006,0.20340504148496968,0.16072694904846882,0.05461979858037129,0.0002503933517361842,0.00037565927483455147,6.284630388422829e-05
healthy,3.5,0.9077885667463982,0.054835836598258865,0.001942433337562589,0.10624475794935397,0.8936792830593556,0.9488443531040979,0.05532421567649637,0.002766210783824889,0.9478332343743436,0.9706824976755845,0.9587311669340106,0.9434762263857908,0.019207165151719698,0.1069871007805514,0.8237407341227317,0.6514931718351558,0.2020573377788034,0.0664609308029353,0.9991963307287539,0.12767155962431778,0.2034050414849669,0.16072694904846585,0.054619798580696835,0.00029210880380061885,0.00043824398949751637,7.33164779480736e-05
healthy,4.0,0.9077885667454707,0.05483583659819617,0.0019424333375602642,0.10624475794935394,0.8936792830593556,0.9488443531040996,0.05532421567649496,0.0027662107838248113,0.9478332343743442,0.9706824976755875,0.9587311669340103,0.9434762263857912,0.0192071651517196,0.10698710078055135,0.8237407341227317,0.6514931718351558,0.20205733777872928,0.06646093080293619,0.9990815735691282,0.1276715596243157,0.20340504148496466,0.16072694904846307,0.054619798581227015,0.00033381946492102525,0.0005008215164194773,8.378544953141116e-05
healthy,4.5,0.9077885667446213,0.054835836598138746,0.0019424333375581352,0.10624475794935387,0.8936792830593557,0.9488443531041004,0.0553242156764937,0.002766210783824741,0.9478332343743449,0.9706824976755904,0.9587311669340104,0.9434762263857915,0.01920716515171955,0.10698710078055128,0.8237407341227319,0.6514931718351558,0.2020573377786706,0.06646093080293719,0.9989668295892774,0.12767155962431373,0.20340504148496233,0.1607269490484607,0.05461979858201849,0.000375525335602831,0.0005633918563587161,9.425321876109854e-05
healthy,5.0,0.9077885667438496,0.05483583659808659,0.0019424333375562012,0.10624475794935381,0.8936792830593557,0.9488443531041008,0.05532421567649256,0.002766210783824677,0.9478332343743455,0.970682497675593,0.9587311669340105,0.9434762263857918,0.01920716515171951,0.1069871007805512,0.8237407341227321,0.651493171835156,0.20205733777861962,0.0664609308029382,0.9988520987889755,0.12767155962431195,0.20340504148496033,0.16072694904845847,0.05461979858310809,0.0004172264159282459,0.0006259550094385705,0.00010471978565776963
healthy,5.5,0.9077885667431455,0.054835836598039006,0.0019424333375544368,0.10624475794935376,0.8936792830593558,0.9488443531041009,0.055324215676491525,0.002766210783824619,0.947833234374346,0.9706824976755954,0.9587311669340107,0.9434762263857919,0.01920716515171949,0.10698710078055114,0.8237407341227322,0.6514931718351561,0.20205733777857432,0.06646093080293909,0.9987373811659519,0.12767155962431032,0.2034050414849583,0.16072694904845652,0.05461979858462638,0.000458922706722519,0.0006885109768971427,0.00011518515042855412
healthy,6.0,0.9077885667425023,0.054835836597995534,0.0019424333375528252,0.10624475794935372,0.893679283059356,0.9488443531041009,0.05532421567649058,0.002766210783824568,0.9478332343743463,0.970682497675598,0.9587311669340111,0.9434762263857921,0.019207165151719493,0.1069871007805511,0.8237407341227323,0.6514931718351563,0.20205733777853416,0.06646093080293985,0.9986226767185932,0.1276715596243088,0.20340504148495628,0.16072694904845486,0.054619798586696744,0.0005006142085720382,0.0007510597596141781,0.00012564931322062986
healthy,6.5,0.9077885667419135,0.05483583659795573,0.0019424333375513496,0.10624475794935369,0.893679283059356,0.9488443531041011,0.05532421567648972,0.002766210783824522,0.9478332343743467,0.9706824976756004,0.9587311669340114,0.9434762263857923,0.01920716515171949,0.10698710078055108,0.8237407341227323,0.6514931718351563,0.2020573377784954,0.06646093080294044,0.9985079854450867,0.12767155962430737,0.2034050414849542,0.16072694904845344,0.05461979858947546,0.0005423009221357372,0.0008136013585782594,0.0001361122741993829
